,X,Y,LocalWellNumber,Water_depth,AQUIFER_NA,Well_Depth_Meters,WellUse,Active,LastActive_Plugged_date,DateConstructed,Yield,VarZ
51,683409,3374112,10019Z,13.484251968503937,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,10.668,Piezometer,1,2021-08-02,2017-05-10,,-0.11298493810256409
52,683790,3359427,203,0.0,SHALLOW SANDS OF BATON ROUGE AREA,79.248,Domestic,1,2021-08-02,1938-01-01,,-0.11298493810256409
53,687291,3363984,212,0.0,400-FOOT SAND OF BATON ROUGE AREA,182.88,Public Supply,0,,1978-06-01,,-0.11298493810256409
54,682305,3360419,215,0.0,SHALLOW SANDS OF BATON ROUGE AREA,108.204,Domestic,1,2021-08-02,,,-0.11298493810256409
55,678859,3358822,217,0.0,MISSISSIPPI RIVER ALLUVIAL AQUIFER,38.1,Domestic,1,2021-08-02,,,-0.11298493810256409
56,678354,3358690,218,0.0,SHALLOW SANDS OF BATON ROUGE AREA,91.44,Irrigation,1,2021-08-02,,,-0.11298493810256409
57,677892,3365704,6361Z,0.0,[NO WELL MADE],60.96,Heat Pump,1,2021-08-02,1989-04-01,,-0.11298493810256409
58,685097,3361143,6363Z,0.0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,5.1816,Monitor,0,1999-06-01,1989-10-01,,-0.11298493810256409
59,685097,3361143,6364Z,0.0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,6.7056,Monitor,0,1999-06-01,1989-10-01,,-0.11298493810256409
60,685097,3361143,6365Z,0.0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,5.1816,Monitor,0,1999-06-01,1989-10-01,,-0.11298493810256409
61,685733,3359861,5630Z,0.0,[NO WELL MADE],0.0,Heat Pump,1,2021-08-02,1987-12-01,,-0.11298493810256409
62,675502,3374843,567,282.1522309711286,1200-FOOT SAND OF BATON ROUGE AREA,379.476,Industrial,1,2021-08-02,1954-12-01,1125.0,-0.11298493810256409
63,675035,3375667,5122Z,0.0,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,7.9248,Monitor,1,2021-08-02,1983-11-01,,-0.11298493810256409
64,675035,3375667,5123Z,0.0,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,11.5824,Monitor,1,2021-08-02,1983-11-01,,-0.11298493810256409
65,675114,3375699,5648Z,0.0,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,9.4488,Monitor,1,2021-08-02,1987-08-01,,-0.11298493810256409
66,675114,3375699,5650Z,0.0,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,23.7744,Monitor,1,2021-08-02,1987-08-01,,-0.11298493810256409
67,682485,3370370,5652Z,0.0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,4.8768,Monitor,1,2021-08-02,1988-02-01,,-0.11298493810256409
68,682485,3370370,5653Z,0.0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,4.8768,Monitor,1,2021-08-02,1988-02-01,,-0.11298493810256409
69,685909,3368303,368,190.28871391076115,400-FOOT SAND OF BATON ROUGE AREA,137.16,Irrigation,1,2021-08-02,1992-10-01,30.0,-0.11298493810256409
70,680354,3370149,5687Z,9.84251968503937,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,5.1816,Monitor,1,2021-08-02,1988-05-01,,-0.11298493810256409
71,687755,3375757,5697Z,0.0,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,13.716,Monitor,1,2021-08-02,1988-05-01,,-0.11298493810256409
72,687755,3375757,5698Z,0.0,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,15.8496,Monitor,1,2021-08-02,1988-05-01,,-0.11298493810256409
73,675638,3372998,5701Z,0.0,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,4.2672,Monitor,1,2021-08-02,1988-05-01,,-0.11298493810256409
74,693133,3367289,6533Z,108.26771653543307,400-FOOT SAND OF BATON ROUGE AREA,141.732,Domestic,1,2021-08-02,1990-08-01,,-0.11298493810256409
75,678624,3371507,5680Z,11.811023622047244,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,2.7432,Monitor,1,2021-08-02,1988-05-01,,-0.11298493810256409
76,678624,3371507,5681Z,17.55249343832021,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,3.048,Monitor,1,2021-08-02,1988-05-01,,-0.11298493810256409
77,675341,3374902,351,132.8740157480315,2400-FOOT SAND OF BATON ROUGE AREA,741.8832,Irrigation,1,2021-08-02,1942-09-01,800.0,-0.11298493810256409
78,686018,3374403,521,65.61679790026247,400-FOOT SAND OF BATON ROUGE AREA,139.5984,Domestic,0,2000-10-01,1951-05-01,,-0.11298493810256409
79,679131,3376320,523,346.48950131233596,1200-FOOT SAND OF BATON ROUGE AREA,367.5888,Public Supply,1,2021-08-02,1953-09-01,890.0,-0.11298493810256409
80,686214,3366090,10030Z,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,10.668,Piezometer,1,2021-08-02,2017-10-10,,-0.11298493810256409
81,683610,3366939,267,0.0,400-FOOT SAND OF BATON ROUGE AREA,149.352,Domestic,0,,,,-0.11298493810256409
82,676260,3367526,5597Z,0.0,[NO WELL MADE],60.96,Heat Pump,1,2021-08-02,1987-07-01,,-0.11298493810256409
83,681127,3368561,5598Z,0.0,[NO WELL MADE],60.96,Heat Pump,1,2021-08-02,1987-06-01,,-0.11298493810256409
84,678624,3371507,5666Z,0.0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,3.048,Monitor,1,2021-08-02,1988-03-01,,-0.11298493810256409
85,675557,3374690,155,545.1771653543307,400-FOOT SAND OF BATON ROUGE AREA,125.5776,Observation,1,2021-08-02,1944-09-01,1000.0,-0.11298493810256409
86,683372,3366812,145,82.02099737532808,1200-FOOT SAND OF BATON ROUGE AREA,368.808,Domestic,0,,1934-02-01,,-0.11298493810256409
87,690142,3371980,5668Z,0.0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,5.1816,Monitor,1,2021-08-02,1988-04-01,,-0.11298493810256409
88,690142,3371980,5669Z,0.0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,5.4864,Monitor,0,1999-03-01,1988-04-01,,-0.11298493810256409
89,690142,3371980,5670Z,0.0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,5.4864,Monitor,0,1999-03-01,1988-04-01,,-0.11298493810256409
90,681402,3364931,5676Z,0.0,[NO WELL MADE],91.44,Heat Pump,1,2021-08-02,1988-04-01,,-0.11298493810256409
91,678624,3371507,5678Z,6.200787401574803,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,3.048,Monitor,1,2021-08-02,1988-05-01,,-0.11298493810256409
92,678624,3371507,5679Z,10.958005249343831,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,3.048,Monitor,1,2021-08-02,1988-05-01,,-0.11298493810256409
93,688602,3374571,866,126.64041994750656,400-FOOT SAND OF BATON ROUGE AREA,121.92,Observation,1,2021-08-02,1970-06-01,,-0.11298493810256409
94,675947,3367120,868,49.60629921259842,400-FOOT SAND OF BATON ROUGE AREA,183.4896,Observation,1,2021-08-02,1971-02-01,20.0,-0.11298493810256409
95,675942,3367397,869,194.750656167979,600-FOOT SAND OF BATON ROUGE AREA,182.5752,Observation,1,2021-08-02,1971-03-01,35.0,-0.11298493810256409
96,675858,3370969,870,356.1351706036745,600-FOOT SAND OF BATON ROUGE AREA,210.9216,Observation,1,2021-08-02,1971-03-01,18.0,-0.11298493810256409
97,675917,3367305,871,45.209973753280835,400-FOOT SAND OF BATON ROUGE AREA,208.788,Observation,1,2021-08-02,1971-03-01,,-0.11298493810256409
98,678232,3369375,1293A,232.93963254593174,800-FOOT SAND OF BATON ROUGE AREA,534.6192,Other,1,2021-08-02,1998-06-01,,-0.11298493810256409
99,678232,3369375,1293B,439.6325459317585,1500-FOOT SAND OF BATON ROUGE AREA,534.6192,Other,1,2021-08-02,1998-06-01,,-0.11298493810256409
100,688424,3364896,1295,216.53543307086613,1500-FOOT SAND OF BATON ROUGE AREA,560.832,Public Supply,1,2021-08-02,1999-05-01,2521.0,-0.11298493810256409
101,685234,3367182,1297,367.45406824146977,1200-FOOT SAND OF BATON ROUGE AREA,498.348,Public Supply,1,2021-08-02,1999-08-01,2641.0,-0.11298493810256409
102,691683,3372346,679,0.0,1200-FOOT SAND OF BATON ROUGE AREA,386.7912,Public Supply,1,2021-08-02,1954-01-01,,-0.11298493810256409
103,685887,3374247,1123,249.34383202099735,1000-FOOT SAND OF BATON ROUGE AREA,299.3136,Public Supply,1,2021-08-02,1985-10-01,,-0.11298493810256409
104,686533,3367697,1025,0.0,2400-FOOT SAND OF BATON ROUGE AREA,815.0352,Public Supply,1,2021-08-02,1980-08-01,,-0.11298493810256409
105,675820,3368381,1028,853.0183727034121,2000-FOOT SAND OF BATON ROUGE AREA,682.1424,Observation,1,2021-08-02,1981-05-01,22.0,-0.11298493810256409
106,675407,3375766,1030,905.511811023622,2000-FOOT SAND OF BATON ROUGE AREA,621.792,Industrial,1,2021-08-02,1981-03-01,,-0.11298493810256409
107,677355,3367513,5354Z,0.0,[NO WELL MADE],76.2,Heat Pump,1,2021-08-02,1985-11-01,,-0.11298493810256409
108,679233,3363663,5358Z,0.0,[NO WELL MADE],60.96,Heat Pump,1,2021-08-02,1986-05-01,,-0.11298493810256409
109,678268,3375320,5359Z,0.0,[NO WELL MADE],45.72,Heat Pump,1,2021-08-02,1986-06-01,,-0.11298493810256409
110,688952,3369834,5360Z,0.0,[NO WELL MADE],51.816,Heat Pump,1,2021-08-02,1986-06-01,,-0.11298493810256409
111,676061,3365028,5363Z,0.0,[NO WELL MADE],76.2,Heat Pump,1,2021-08-02,1986-06-01,,-0.11298493810256409
112,675450,3374750,946,525.9514435695538,1200-FOOT SAND OF BATON ROUGE AREA,376.1232,Observation,1,2021-08-02,1975-03-01,50.0,-0.11298493810256409
113,692946,3367347,948,52.49343832020997,400-FOOT SAND OF BATON ROUGE AREA,153.3144,Public Supply,1,2021-08-02,1965-03-01,70.0,-0.11298493810256409
114,693723,3367176,949,31.66010498687664,400-FOOT SAND OF BATON ROUGE AREA,146.304,Domestic,1,2021-08-02,1962-01-01,,-0.11298493810256409
115,684747,3366004,274,147.63779527559055,1200-FOOT SAND OF BATON ROUGE AREA,435.864,Domestic,0,,1921-05-01,100.0,-0.11298493810256409
116,678336,3369562,1274,209.97375328083987,800-FOOT SAND OF BATON ROUGE AREA,262.128,Observation,1,2021-08-02,1996-12-01,101.0,-0.11298493810256409
117,678158,3370637,1276,305.11811023622045,1000-FOOT SAND OF BATON ROUGE AREA,327.66,Public Supply,1,2021-08-02,1997-05-01,1001.0,-0.11298493810256409
118,683403,3366535,1278,121.39107611548556,400-FOOT SAND OF BATON ROUGE AREA,167.64,Observation,1,2021-08-02,1997-06-01,18.0,-0.11298493810256409
119,692543,3367494,1279,108.26771653543307,800-FOOT SAND OF BATON ROUGE AREA,268.8336,Public Supply,1,2021-08-02,1997-07-01,1500.0,-0.11298493810256409
120,682931,3367667,1282,187.00787401574803,400-FOOT SAND OF BATON ROUGE AREA,151.1808,Irrigation,1,2021-08-02,1998-03-01,,-0.11298493810256409
121,689394,3365868,1312,328.0839895013123,1200-FOOT SAND OF BATON ROUGE AREA,461.772,Public Supply,1,2021-08-02,2001-11-01,1251.0,-0.11298493810256409
122,693191,3367044,5364Z,98.42519685039369,400-FOOT SAND OF BATON ROUGE AREA,146.9136,Domestic,1,2021-08-02,1986-05-01,,-0.11298493810256409
123,692971,3364422,5372Z,0.0,[NO WELL MADE],48.768,Heat Pump,1,2021-08-02,1986-07-01,,-0.11298493810256409
124,688766,3369800,5375Z,0.0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,5.7912,Monitor,0,2006-08-01,1986-07-01,,-0.11298493810256409
125,688766,3369800,5376Z,0.0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,5.7912,Monitor,0,2006-08-01,1986-07-01,,-0.11298493810256409
126,681879,3368296,5377Z,0.0,[NO WELL MADE],60.96,Heat Pump,1,2021-08-02,1986-07-01,,-0.11298493810256409
127,680927,3367787,5378Z,0.0,[NO WELL MADE],45.72,Heat Pump,1,2021-08-02,1986-07-01,,-0.11298493810256409
128,675837,3360682,181,0.0,MISSISSIPPI RIVER ALLUVIAL AQUIFER,0.0,Irrigation,1,2021-08-02,,,-0.11298493810256409
129,688973,3374731,196,0.0,SHALLOW SANDS OF BATON ROUGE AREA,26.5176,Public Supply,1,2021-08-02,1973-01-01,,-0.11298493810256409
130,675489,3375613,856,774.278215223097,2000-FOOT SAND OF BATON ROUGE AREA,621.792,Industrial,1,2021-08-02,1967-09-01,1900.0,-0.11298493810256409
131,680628,3363255,1284,39.37007874015748,SHALLOW SANDS OF BATON ROUGE AREA,92.964,Irrigation,1,2021-08-02,1975-01-01,,-0.11298493810256409
132,680976,3363261,1285,78.74015748031496,400-FOOT SAND OF BATON ROUGE AREA,182.88,Irrigation,1,2021-08-02,1997-11-01,,-0.11298493810256409
133,681635,3373312,5779Z,0.0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,4.572,Monitor,0,2008-12-01,1988-07-01,,-0.11298493810256409
134,681635,3373312,5780Z,0.0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,4.572,Monitor,0,2008-12-01,1988-07-01,,-0.11298493810256409
135,681635,3373312,5782Z,0.0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,4.572,Monitor,0,2008-11-01,1988-07-01,,-0.11298493810256409
136,680665,3373912,5606Z,0.0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,6.4008,Monitor,0,2003-08-01,1987-09-01,,-0.11298493810256409
137,681665,3360346,6541Z,32.808398950131235,SHALLOW SANDS OF BATON ROUGE AREA,92.964,Domestic,1,2021-08-02,1990-09-01,,-0.11298493810256409
138,678955,3367601,6544Z,28.28083989501312,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,4.2672,Monitor,1,2021-08-02,1990-10-01,,-0.11298493810256409
139,680831,3363905,6547Z,10.89238845144357,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,4.572,Monitor,1,2021-08-02,1990-10-01,,-0.11298493810256409
140,682879,3367543,1259,134.51443569553805,400-FOOT SAND OF BATON ROUGE AREA,156.972,Irrigation,1,2021-08-02,1994-03-01,,-0.11298493810256409
141,691533,3365721,1261,147.63779527559055,600-FOOT SAND OF BATON ROUGE AREA,260.604,Public Supply,1,2021-08-02,1994-04-01,1500.0,-0.11298493810256409
142,690022,3372717,1262,288.71391076115486,2400-FOOT SAND OF BATON ROUGE AREA,786.384,Public Supply,1,2021-08-02,1995-01-01,1205.0,-0.11298493810256409
143,682075,3364542,1263,75.45931758530183,400-FOOT SAND OF BATON ROUGE AREA,198.12,Public Supply,1,2021-08-02,1994-12-01,200.0,-0.11298493810256409
144,680492,3360204,5352Z,0.0,[NO WELL MADE],60.96,Heat Pump,1,2021-08-02,1985-12-01,,-0.11298493810256409
145,680153,3372610,327,331.2335958005249,1200-FOOT SAND OF BATON ROUGE AREA,376.7328,Observation,1,2021-08-02,1934-01-01,,-0.11298493810256409
146,688703,3376482,329,159.12073490813648,1200-FOOT SAND OF BATON ROUGE AREA,347.472,Domestic,1,2021-08-02,1936-08-01,,-0.11298493810256409
147,675450,3374750,944,110.00656167979002,2800-FOOT SAND OF BATON ROUGE AREA,851.0016,Observation,1,2021-08-02,1975-02-01,45.0,-0.11298493810256409
148,675450,3374750,945,389.6653543307086,600-FOOT SAND OF BATON ROUGE AREA,199.3392,Observation,1,2021-08-02,1975-02-01,30.0,-0.11298493810256409
149,682924,3372779,1303,442.9133858267716,1700-FOOT SAND OF BATON ROUGE AREA,520.2936,Public Supply,1,2021-08-02,2000-10-01,1906.0,-0.11298493810256409
150,676715,3360881,1307,6.561679790026246,MISSISSIPPI RIVER ALLUVIAL AQUIFER,94.488,Other,1,2021-08-02,2001-02-01,600.0,-0.11298493810256409
151,678130,3370698,1308,321.5223097112861,1000-FOOT SAND OF BATON ROUGE AREA,326.136,Public Supply,1,2021-08-02,2001-09-01,1251.0,-0.11298493810256409
152,689145,3367927,1264,109.31758530183727,400-FOOT SAND OF BATON ROUGE AREA,152.4,Observation,1,2021-08-02,1995-05-01,30.0,-0.11298493810256409
153,677785,3362407,5097Z,9.84251968503937,400-FOOT SAND OF BATON ROUGE AREA,89.6112,Domestic,1,2021-08-02,1983-03-01,,-0.11298493810256409
154,678184,3370668,774,413.3858267716535,2000-FOOT SAND OF BATON ROUGE AREA,653.1864,Public Supply,1,2021-08-02,1964-01-01,1000.0,-0.11298493810256409
155,688669,3372293,775,0.0,400-FOOT SAND OF BATON ROUGE AREA,131.064,Domestic,1,2021-08-02,1964-08-01,,-0.11298493810256409
156,678569,3366701,778,131.56167979002623,2000-FOOT SAND OF BATON ROUGE AREA,788.2128,Observation,1,2021-08-02,1965-03-01,43.0,-0.11298493810256409
157,686154,3374251,926,175.5249343832021,1000-FOOT SAND OF BATON ROUGE AREA,298.704,Public Supply,1,2021-08-02,1973-04-01,1000.0,-0.11298493810256409
158,678184,3370637,927,442.9133858267716,1500-FOOT SAND OF BATON ROUGE AREA,460.5528,Public Supply,1,2021-08-02,1973-06-01,1120.0,-0.11298493810256409
159,679239,3376229,928,669.2913385826771,2400-FOOT SAND OF BATON ROUGE AREA,723.9,Public Supply,1,2021-08-02,1973-08-01,1100.0,-0.11298493810256409
160,685180,3367212,1287,351.0498687664042,1200-FOOT SAND OF BATON ROUGE AREA,460.248,Public Supply,1,2021-08-02,1998-08-01,1999.0,-0.11298493810256409
