LOCAL_WELL,OWNERS_NAM,DATE_COMPL,GEOLOGIC_U,WATER_LEVE,DATE_MEASU,PUMP_SETTI,PUMP_RATE,YIELD_MEAS,PUMP_HOURS,PUMP_DOWN_,AQUIFER_NA,X,Y
760A,BRIARWOOD CLUB,10/63,112SLBR,"17.71",10/27/63,,,,,,SHALLOW SANDS OF BATON ROUGE AREA,"688651","3362590"
"894",BRIARWOOD CLUB,06/71,112SLBR,"21.47",05/06/75,,,,,,SHALLOW SANDS OF BATON ROUGE AREA,"688650","3362620"
9477Z,EXXON MOBIL,06/09,112SESC,,06/10/09,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"682485","3370369"
7582Z,LENNAR CENTRAL,04/95,112SESC,"10.50",04/25/95,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"682403","3370522"
7583Z,LENNAR CENTRAL,04/95,112SESC,"10.50",04/25/95,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"682403","3370522"
7751Z,LENNAR CENTRAL,02/96,112SESC,"14.00",02/26/96,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"682459","3370338"
9893Z,"BEAU BOX PROPERTY MANAGEMENT, LLC",5/12/14,112SESC,"11.5",5-12-14,,,,,G,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"682798","3366062"
10004Z,"BEAU BOX PROPERTY MANAGEMENT, LLC",8/18/16,112SESC,"10.43",8-26-16,,,,,P,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"682824","3366124"
7754Z,LENNAR CENTRAL,02/96,112SESC,"14.50",02/27/96,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"682459","3370338"
9478Z,EXXON MOBIL,06/09,112SESC,,06/10/09,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"682485","3370369"
9480Z,EXXON MOBIL,06/09,112SESC,,06/10/09,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"682459","3370369"
7581Z,LENNAR CENTRAL,04/95,112SESC,"11.00",04/24/95,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"682403","3370522"
"1447",BATON ROUGE WATER COMPANY,06/29/2020,12220BR,"140",05/27/2020,,"1584000",ORIFICE,2020/02/29,P,2000-FOOT SAND OF BATON ROUGE AREA,"686021","3374248"
9786Z,CIRCLE K STORES,9/24/12,112SESC,"2.93",9-27-12,,,,,G,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686604","3368283"
9788Z,CIRCLE K STORES,9/24/12,112SESC,"3.15",9-27-12,,,,,G,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686604","3368283"
9784Z,CIRCLE K STORES,9/24/12,112SESC,"4.21",9-27-12,,,,,G,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686631","3368284"
9785Z,CIRCLE K STORES,9/24/12,112SESC,"2.98",9-27-12,,,,,G,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686631","3368284"
9787Z,CIRCLE K STORES,9/24/12,112SESC,"2.41",9-27-12,,,,,G,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686603","3368314"
"1446",EXXONMOBIL CHEMICAL PLANT,04/10/2020,12224BR,"219.3",04/10/2020,"440","1444000",ORIFICE,2020/02/10,P,2400-FOOT SAND OF BATON ROUGE AREA,"675016","3375204"
5140Z,SOUTH OAK PROD,12/84,112MRVA,"0.00",,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER,"676236","3364107"
"473",EXXON CO USA,06/48,11206BR,"155.87",05/26/72,,,,,,600-FOOT SAND OF BATON ROUGE AREA,"675052","3374651"
"1443",BATON ROUGE WATER COMPANY,06/28/2019,12220BR,"237",06/28/2019,TBD,"2160000",10X8 ORIFICE,2019/06/24,P,2000-FOOT SAND OF BATON ROUGE AREA,"675613","3376230"
10019Z,PROFESSIONAL TECHNICAL SUPPORT SERVICES,05/10/2017,112SESC,"4.11",05/10/2017,,,,,P,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"683409","3374112"
"219","ALDRICH, S W",,12112BR,"8.50",04/30/59,,,,,,1200-FOOT SAND OF BATON ROUGE AREA,"678621","3366794"
"221","MORGAN, E M","1940",112SLBR,"29.00",05/27/42,,,,,,SHALLOW SANDS OF BATON ROUGE AREA,"681383","3364438"
"222","GATES, W",01/35,11204BR,"35.00",01/01/35,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"681815","3364168"
"223","MORGAN, E","1917",112SLBR,"9.14",03/24/59,,,,,,SHALLOW SANDS OF BATON ROUGE AREA,"681545","3364348"
"224","MURPHY, A","1936",11204BR,"26.70",08/01/40,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"682356","3365316"
"225",SPECIALITY PLAS,07/77,112SLBR,"0.00",,,,,,,SHALLOW SANDS OF BATON ROUGE AREA,"687816","3359865"
"226","LEONARD, H",01/27,12112BR,"41.00",00/00/27,,,,,,1200-FOOT SAND OF BATON ROUGE AREA,"682572","3366768"
"227","KEAN, J","1917",12112BR,"0.00",,,,,,,1200-FOOT SAND OF BATON ROUGE AREA,"682756","3366956"
"21",EXXON CO USA,04/29,11205BR,"91.00",04/17/29,,,,,,400- AND 600-FT SANDS OF BATON ROUGE AREA,"675052","3374590"
"22",EXXON CO USA,05/29,11205BR,"84.00",05/14/29,,,,,,400- AND 600-FT SANDS OF BATON ROUGE AREA,"675318","3374625"
"23",EXXON CO USA,06/29,11205BR,"88.00",06/20/29,,,,,,400- AND 600-FT SANDS OF BATON ROUGE AREA,"675558","3374629"
"24",EXXON CO USA,03/29,11205BR,"98.00",03/05/29,,,,,,400- AND 600-FT SANDS OF BATON ROUGE AREA,"675057","3374313"
"25",EXXON CO USA,04/29,11205BR,"91.00",04/24/29,,,,,,400- AND 600-FT SANDS OF BATON ROUGE AREA,"675350","3374317"
"26",EXXON CO USA,05/29,11205BR,"79.00",05/30/29,,,,,,400- AND 600-FT SANDS OF BATON ROUGE AREA,"675590","3374321"
"28",EXXON CO USA,08/29,12112BR,"11.25",08/16/29,,,,,,1200-FOOT SAND OF BATON ROUGE AREA,"675097","3373482"
"29",EXXON CO USA,10/29,12112BR,"9.00",10/21/29,,,,,,1200-FOOT SAND OF BATON ROUGE AREA,"675166","3374160"
"30",EXXON CO USA,,11200NWM,"0.00",,,,,,,[NO WELL MADE],"675352","3374163"
"31",EXXON CO USA,08/30,11205BR,"150.00",08/26/30,,,,,,400- AND 600-FT SANDS OF BATON ROUGE AREA,"675219","3374161"
"199","THOMAS, J",05/38,112SLBR,"15.00",04/29/38,,,,,,SHALLOW SANDS OF BATON ROUGE AREA,"677690","3363361"
"200","THOMAS, J",03/39,112SLBR,"21.00",05/21/39,,,,,,SHALLOW SANDS OF BATON ROUGE AREA,"677690","3363361"
"201","GIANELLONI, V J",09/20,112SLBR,"0.00",,,,,,,SHALLOW SANDS OF BATON ROUGE AREA,"680588","3360852"
"202","GIANELLONI, V J",,112SLBR,"2.42",04/24/59,,,,,,SHALLOW SANDS OF BATON ROUGE AREA,"680588","3360852"
"203","KLEINPETER, R","1938",112SLBR,"0.00",,,,,,,SHALLOW SANDS OF BATON ROUGE AREA,"683790","3359427"
"208","MILLER, GENE","1936",11204BR,"0.00",,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"691438","3360514"
"209",EB SCHOOL BOARD,,11204BR,"0.00",,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"690604","3363856"
"16",EXXON CO USA,09/27,12113BR,"25.00",09/04/27,,,,,,,"675093","3373728"
"212",SANDAIR CORP,07/78,11204BR,"0.00",,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"687291","3363984"
"213","RUSSO, NINO","1935",112SLBR,"0.00",,,,,,,SHALLOW SANDS OF BATON ROUGE AREA,"678800","3362393"
"214","BERNHARD, W","1932",112SLBR,"20.77",05/27/42,,,,,,SHALLOW SANDS OF BATON ROUGE AREA,"680556","3361190"
"215","SLAUGHTER, W","1936",112SLBR,"0.00",,,,,,,SHALLOW SANDS OF BATON ROUGE AREA,"682305","3360419"
"217",STEINBACH,,112MRVA,"0.00",,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER,"678859","3358822"
"218","HORNSBY, W E",,112SLBR,"0.00",,,,,,,SHALLOW SANDS OF BATON ROUGE AREA,"678354","3358690"
6361Z,"HUDSON, GEORGE",04/89,11200NWM,"0.00",,,,,,,[NO WELL MADE],"677892","3365704"
6362Z,CHEVRON,10/89,112SESC,"0.00",,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"685097","3361143"
6363Z,CHEVRON,10/89,112SESC,"0.00",,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"685097","3361143"
6364Z,CHEVRON,10/89,112SESC,"0.00",,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"685097","3361143"
6365Z,CHEVRON,10/89,112SESC,"0.00",,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"685097","3361143"
5628Z,S A S,12/87,11200NWM,"0.00",,,,,,,[NO WELL MADE],"690156","3360491"
5630Z,"COLLETTE, SAM",12/87,11200NWM,"0.00",,,,,,,[NO WELL MADE],"685733","3359861"
"535",COPOLYMER RUB,03/52,12112BR,"11.00",05/01/52,,,,,,1200-FOOT SAND OF BATON ROUGE AREA,"675060","3375760"
"567",EXXON CHEMICAL,12/54,12112BR,"86.00",12/15/54,,,,,,1200-FOOT SAND OF BATON ROUGE AREA,"675502","3374843"
"177","SEDETO, J",,112SLBR,"0.00",,,,,,,SHALLOW SANDS OF BATON ROUGE AREA,"693417","3361873"
5122Z,EXXON CHEMICAL,11/83,112MRVAC,"0.00",,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675035","3375667"
5123Z,EXXON CHEMICAL,11/83,112MRVAC,"0.00",,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675035","3375667"
5648Z,EXXON CHEMICAL,08/87,112MRVAC,"0.00",,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675114","3375699"
5650Z,EXXON CHEMICAL,08/87,112MRVAC,"0.00",,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675114","3375699"
5651Z,MINERAL FUND VE,12/87,11204BR,"40.00",12/29/87,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"690780","3361426"
5652Z,CHEVRON,02/88,112SESC,"0.00",,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"682485","3370370"
5653Z,CHEVRON,02/88,112SESC,"0.00",,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"682485","3370370"
5197Z,EB PUBLIC WORKS,01/86,112MRVAC,"0.60",01/22/86,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"678827","3359129"
"133",BATON ROUGE WW,05/41,12223BR,"15.20",10/31/44,,,,,,"2000- AND 2400-FT SANDS OF BATON ROUGE AREA, MIOCE","677208","3371637"
"135","TAYLOR, T H",05/38,12115BR,"35.00",05/30/38,,,,,,1500-FOOT SAND OF BATON ROUGE AREA,"681923","3373625"
"368",HEROMANS FLOWER,10/92,11204BR,"58.00",10/20/92,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"685909","3368303"
5687Z,SOUTHLAND CORP,05/88,112SESC,"3.00",05/06/88,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"680354","3370149"
5697Z,ETHYL CORP,05/88,112MRVAC,"0.00",,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"687755","3375757"
5698Z,ETHYL CORP,05/88,112MRVAC,"0.00",,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"687755","3375757"
5701Z,EXXON CO USA,05/88,112MRVAC,"0.00",,,,,,,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675638","3372998"
6531Z,CHEVRON,,112SESC,"0.00",,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686607","3368099"
6532Z,CHEVRON,,112SESC,"0.00",,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686607","3368099"
6533Z,FLAIR HOMES,08/90,11204BR,"33.00",08/06/90,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"693133","3367289"
6534Z,STAR VIDEO,08/90,112SESC,"7.90",08/24/90,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"677149","3367047"
6535Z,STAR VIDEO,08/90,112SESC,"11.10",08/24/90,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"677149","3367047"
6536Z,STAR VIDEO,08/90,112SESC,"9.30",08/24/90,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"677149","3367047"
5680Z,SOUTHLAND CORP,05/88,112SESC,"3.60",06/02/88,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"678624","3371507"
5681Z,SOUTHLAND CORP,05/88,112SESC,"5.35",06/02/88,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"678624","3371507"
5794Z,BANK OF WBR,09/88,11204BR,"66.00",09/05/88,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"686308","3366831"
"351",EXXON CHEMICAL,09/42,12224BR,"40.50",09/03/42,,,,,,2400-FOOT SAND OF BATON ROUGE AREA,"675341","3374902"
"352",EXXON CHEMICAL,11/42,12224BR,"0.00",,,,,,,2400-FOOT SAND OF BATON ROUGE AREA,"675335","3375241"
"355",EXXON CO USA,07/43,11204BR,"216.00",10/19/43,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"675349","3374379"
"521","ANDERSON, L S",05/51,11204BR,"20.00",06/21/51,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"686018","3374403"
"523",BATON ROUGE WW,09/53,12112BR,"105.61",03/10/59,,,,,,1200-FOOT SAND OF BATON ROUGE AREA,"679131","3376320"
10030Z,PRO TECH,10/10/2017,112SESC,,,,,,,P,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686214","3366090"
"263","GIANELLONI, S J","1925",112SLBR,"25.32",04/02/59,,,,,,SHALLOW SANDS OF BATON ROUGE AREA,"681659","3359083"
"265",BR COUNTRY CLUB,04/16,12112BR,"47.00",04/22/16,,,,,,1200-FOOT SAND OF BATON ROUGE AREA,"682703","3366893"
"266",CABLE WORKS INC,04/94,112SLBR,"18.00",04/18/94,,,,,,SHALLOW SANDS OF BATON ROUGE AREA,"688311","3362122"
"267","DUCOTE, E",,11204BR,"0.00",,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"683610","3366939"
"268","BROWN, E",04/36,11204BR,"9.50",04/01/36,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"683843","3367405"
"269",BOWERS CONCRETE,,112SLBR,"6.30",03/19/59,,,,,,SHALLOW SANDS OF BATON ROUGE AREA,"684179","3368027"
"270","DODWELL, B","1930",11204BR,"0.00",,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"682872","3368005"
"272",FONTENOT ETAL,"1940",11204BR,"0.00",,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"684234","3366334"
"273","MCINNIS, M","1941",11204BR,"0.00",,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"684477","3366184"
5597Z,"CHERRLOUSE, M S",07/87,11200NWM,"0.00",,,,,,,[NO WELL MADE],"676260","3367526"
5598Z,"ELBOURNE, J C",06/87,11200NWM,"0.00",,,,,,,[NO WELL MADE],"681127","3368561"
5600Z,"HANCHEY, ROBERT",07/87,112SLBR,"24.00",07/16/87,,,,,,SHALLOW SANDS OF BATON ROUGE AREA,"688335","3359197"
"687",EB PUBLIC WORKS,04/59,112SLBR,"12.00",04/01/59,,,,,,SHALLOW SANDS OF BATON ROUGE AREA,"677287","3373333"
"692","SMITH, D",06/37,11204BR,"3.00",06/01/37,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"683360","3373834"
5666Z,SOUTHLAND CORP,03/88,112SESC,"0.00",,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"678624","3371507"
"150",BATON ROUGE WW,08/44,12223BR,"4.90",08/29/44,,,,,,"2000- AND 2400-FT SANDS OF BATON ROUGE AREA, MIOCE","678229","3369529"
"152",BATON ROUGE WW,"1919",12115BR,"46.00",00/00/19,,,,,,1500-FOOT SAND OF BATON ROUGE AREA,"676263","3373963"
"153",BATON ROUGE WW,"1919",12115BR,"45.00",00/00/19,,,,,,1500-FOOT SAND OF BATON ROUGE AREA,"676938","3373419"
"154",BATON ROUGE WW,03/42,12224BR,"65.00",03/15/42,,,,,,2400-FOOT SAND OF BATON ROUGE AREA,"676742","3374032"
"155",EXXON CO USA,09/44,11204BR,"166.17",06/15/63,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"675557","3374690"
"179","LEBLANC, P",12/37,11204BR,"18.00",12/10/37,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"686391","3368188"
180A,"HARELSON, H",08/37,11204BR,"0.00",,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"686059","3368890"
"1198",LA CONCRETE,11/84,11204BR,"0.00",,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"688588","3360033"
"696",BATON ROUGE WW,11/54,12220BR,"7.00",11/26/54,,,,,,2000-FOOT SAND OF BATON ROUGE AREA,"684874","3374229"
"697",NESOM EST,10/54,12110BR,"0.00",,,,,,,1000-FOOT SAND OF BATON ROUGE AREA,"689688","3371972"
"699",BATON ROUGE WW,06/59,12112BR,"20.00",06/26/59,,,,,,1200-FOOT SAND OF BATON ROUGE AREA,"691626","3372560"
"143","VERNICE, BENNIE","1917",12112BR,"43.00",00/00/17,,,,,,1200-FOOT SAND OF BATON ROUGE AREA,"675043","3370185"
"144","WILLIAMS, L R",09/36,11204BR,"29.25",09/11/36,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"682643","3365722"
"145","WEBB, FLETCHER",02/34,12112BR,"25.00",02/01/34,,,,,,1200-FOOT SAND OF BATON ROUGE AREA,"683372","3366812"
"147","STUMBERG, J",01/37,12110BR,"10.25",01/10/37,,,,,,1000-FOOT SAND OF BATON ROUGE AREA,"688381","3364280"
"347","GRAPHIA, T","1935",11204BR,"60.00",00/00/35,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"676026","3370448"
"348",MAGNOLIA ST NUR,01/39,12115BR,"32.30",01/02/39,,,,,,1500-FOOT SAND OF BATON ROUGE AREA,"682749","3373700"
"349",MAGNOLIA ST NUR,"1935",12112BR,"25.00",00/00/35,,,,,,1200-FOOT SAND OF BATON ROUGE AREA,"682749","3373700"
"350",EXXON CHEMICAL,07/42,11204BR,"172.00",07/13/42,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"675395","3374811"
5667Z,"AMEDEE, JAMES",,11204BR,"0.00",,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"687175","3369156"
5668Z,TEXACO,04/88,112SESC,"0.00",,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"690142","3371980"
5669Z,TEXACO,04/88,112SESC,"0.00",,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"690142","3371980"
5670Z,TEXACO,04/88,112SESC,"0.00",,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"690142","3371980"
5676Z,LA CARDIOLOGY,04/88,11200NWM,"0.00",,,,,,,[NO WELL MADE],"681402","3364931"
5678Z,SOUTHLAND CORP,05/88,112SESC,"1.89",06/02/88,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"678624","3371507"
5679Z,SOUTHLAND CORP,05/88,112SESC,"3.34",06/02/88,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"678624","3371507"
"861",COPOLYMER RUB,01/70,12112BR,"173.00",00/00/70,,,,,,1200-FOOT SAND OF BATON ROUGE AREA,"675402","3376043"
"866",SOUTH CENTRAL,06/70,11204BR,"38.60",10/21/70,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"688602","3374571"
"868",U S GEOL SURVEY,02/71,11204BR,"15.12",02/25/71,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"675947","3367120"
"869",U S GEOL SURVEY,03/71,11206BR,"59.36",03/03/71,,,,,,600-FOOT SAND OF BATON ROUGE AREA,"675942","3367397"
"870",U S GEOL SURVEY,03/71,11206BR,"108.55",03/08/71,,,,,,600-FOOT SAND OF BATON ROUGE AREA,"675858","3370969"
"871",U S GEOL SURVEY,03/71,11204BR,"13.78",03/16/71,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"675917","3367305"
